timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
1557442814151800167, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814153731006, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814155677852, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814157623176, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814159574009, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814167862096, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814169789417, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814171731532, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814173648438, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814175569621, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814177505628, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814179424587, 57, 42, 250, 7, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814187938181, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814189958832, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814191877161, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814193805370, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814195727867, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814197645353, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814199570513, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814208033166, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814209953430, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814211873906, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814213793168, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814215714472, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814217699839, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814219620742, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814228032098, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814229951724, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
